
City	FAA	IATA	ICAO	Airport	Role	Enplanements
Detroit / Romulus	DTW	DTW	KDTW	Detroit Metropolitan Wayne County Airport	P-L	15,643,890
Flint	FNT	FNT	KFNT	Bishop International Airport	P-S	497,649
Grand Rapids	GRR	GRR	KGRR	Gerald R. Ford International Airport	P-S	1,089,002
Hancock / Calumet	CMX	CMX	KCMX	Houghton County Memorial Airport	P-N	21,186
Kalamazoo / Battle Creek	AZO	AZO	KAZO	Kalamazoo/Battle Creek International Airport	P-N	135,555
Lansing	LAN	LAN	KLAN	Capital Region International Airport (was Lansing Capital City)	P-N	136,548
Marquette / Gwinn	SAW	MQT	KSAW	Sawyer International Airport	P-N	57,371
Muskegon	MKG	MKG	KMKG	Muskegon County Airport	P-N	13,088
Pellston	PLN	PLN	KPLN	Pellston Regional Airport of Emmet County	P-N	23,324
Detroit/Pontiac	[1]	PTK	KPTK	Oakland County International Airport	P-N	1,369
Saginaw	MBS	MBS	KMBS	MBS International Airport	P-N	146,870
Sault Ste. Marie	CIU	CIU	KCIU	Chippewa County International Airport	P-N	14,349
Traverse City	TVC	TVC	KTVC	Cherry Capital Airport	P-N	167,488
MINNESOTA						
Bemidji	BJI	BJI	KBJI	Bemidji Regional Airport	P-N	21,498
Brainerd	BRD	BRD	KBRD	Brainerd Lakes Regional Airport	P-N	16,404
Duluth	DLH	DLH	KDLH	Duluth International Airport	P-N	150,556
Hibbing	HIB	HIB	KHIB	Range Regional Airport (was Chisholm-Hibbing Airport)	P-N [nb 11]	11,227
International Falls	INL	INL	KINL	Falls International Airport	P-N	14,051
Minneapolis	MSP	MSP	KMSP	Minneapolis-St. Paul International Airport (Wold-Chamberlain Field)	P-L	15,512,487
Rochester	RST	RST	KRST	Rochester International Airport	P-N	120,063
St. Cloud	STC	STC	KSTC	St. Cloud Regional Airport (scheduled passenger service resumed Dec. 2012)	P-N [nb 12]	1,198
MISSISSIPPI						
Columbus / West Point / Starkville	GTR	GTR	KGTR	Golden Triangle Regional Airport	P-N	36,329
Gulfport / Biloxi	GPT	GPT	KGPT	Gulfport-Biloxi International Airport	P-S	461,072
Hattiesburg / Laurel	PIB	PIB	KPIB	Hattiesburg-Laurel Regional Airport	P-N	13,766
Jackson	JAN	JAN	KJAN	Jackson-Evers International Airport	P-S	618,373
Meridian	MEI	MEI	KMEI	Meridian Regional Airport (Key Field)	P-N	16,871
Tupelo	TUP	TUP	KTUP	Tupelo Regional Airport (C.D. Lemons Field)	P-N	12,749
MISSOURI						
